province_code,province,area_type,year,period,value,date,metric
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Triwulan III,720.95,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Triwulan IV,726.11,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Tahunan,2802.94,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Triwulan I,690.76,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Triwulan II,796.55,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Triwulan III,732.44,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Triwulan IV,765.24,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,Tahunan,2985.0,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2022,Triwulan I,521.85,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2022,Triwulan II,534.01,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2022,Triwulan III,534.01,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2022,Triwulan IV,534.13,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2022,Tahunan,2124.0,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2023,Triwulan I,553.92,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2023,Triwulan II,566.25,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2023,Triwulan III,561.39,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2023,Triwulan IV,568.33,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,P Jasa Pendidikan,2023,Tahunan,2249.9,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Triwulan I,425.52,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Triwulan II,413.71,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Triwulan III,438.06,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Triwulan IV,434.38,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,Q Jasa Kesehatan dan Kegiatan Sosial,2022,Tahunan,1711.67,2022-12-01,pdrb_adhb_quarterly
